Entry,t0,t4,t8,t12,t16,t20,t24
DDB_G0282875,0,1.6,2.16,4.06,5.44,2.84,3.15
DDB_G0282897,0,2.33,0.87,6.85,12.26,4.84,5.7
DDB_G0283171,0,0.17,0.34,2.74,3.11,1.34,0
DDB_G0284521,0,0.15,0.35,0.11,0.44,0.1,0.09
DDB_G0285379,0,0,0.46,0.26,0.24,0,0
DDB_G0285471,0.45,0,0.45,0.5,1,1.35,0.78
DDB_G0285657,0,0.23,1.1,1.02,2.18,4.4,1.53
DDB_G0286939,0,0.33,1.01,0.49,0.69,0.62,0.23
DDB_G0287079,0,0.18,0.08,0.45,0.84,0.37,0.49
DDB_G0287213,0,0.64,1.21,1.62,1.13,0.34,0.3
DDB_G0287753,0,0.19,1.13,1.66,0.54,0.58,0.5
DDB_G0287861,0,0,0,0.17,0.27,0.31,0.41
DDB_G0288027,0,0.24,0.16,0.36,0.08,0.42,0.16
DDB_G0288157,0,0.68,0.71,0.34,0.21,0,0.52
DDB_G0288675,0,0.28,1.84,0.83,3.85,1.31,1.45
DDB_G0289191,0,0.66,0.66,0.59,0.75,0.35,0.08
DDB_G0290725,0,0.67,1.19,2,2.76,5.1,2.85
DDB_G0291057,0,0.05,0,0.16,0.48,0.22,0.19
DDB_G0291326,0,0,0.63,0.71,0,0.32,0.28
DDB_G0291338,0,0.09,0,0,0.76,0.56,1.36
DDB_G0292078,0,1.32,0.68,1.46,4.91,1.32,7.22
DDB_G0292542,0,0,0,0,0,0,0
DDB_G0292928,0,0.12,1.31,2.04,1.83,2.15,1.46
DDB_G0293382,0,0,0,0,0,0,0
DDB_G0293922,0,0.24,0.23,0.43,0.42,0.9,0.33
DDB_G0293944,0,0.43,0,1.47,3.14,1.71,0.65
DDB_G0295693,0,0,0.6,0,0,0,0.26
DDB_G0283595,0.15,58.8,60.07,47.77,39.6,20.72,12.51
DDB_G0289693,4.85,75.47,1301.13,1842.7,3050.34,1648.43,820.69
DDB_G0274119,0.33,33.46,39.97,177.69,474.22,392.91,122.43
DDB_G0287599,1.18,18.35,90.94,327.23,498.34,642.73,256.88
DDB_G0275117,1.88,79.09,106.06,155.1,184.52,385.2,327.26
DDB_G0275417,0.18,1.69,8.75,13.89,11.88,7.21,5.25
DDB_G0275683,0.56,14.37,23.84,64.02,137.95,139.79,68.44
DDB_G0293942,3.61,132.49,149.09,120.65,141.26,118.95,116.83
DDB_G0275457,0.12,4.84,4.55,1.37,6.5,11.57,169.47
DDB_G0286397,0.07,0.52,2.56,2.7,2.23,1.21,0.7
DDB_G0285911,1.22,9.47,39.97,57.47,84.92,53.35,37.87
DDB_G0269342,0.67,9.79,21.79,21.2,26.57,13,15.57
DDB_G0275377,0.1,1.71,3.13,3.06,4.04,3.71,5.92
DDB_G0292004,0.64,2.32,19.75,25.1,36.57,11.4,8.48
DDB_G0271590,0.12,0.15,3.62,15.97,47.6,57.69,62.08
DDB_G0281847,0.42,8.19,10.79,8.07,12.42,10.24,8.82
DDB_G0278381,9.35,203.83,235.29,240.04,247.4,215.67,183.28
DDB_G0281241,2.64,0.4,65.93,93.39,27.77,9.41,11.87
DDB_G0279923,1.29,6.76,29.08,30.76,31.22,11.68,13.05
DDB_G0291181,8.06,125.44,181.97,172.53,171.92,174.71,124.82
DDB_G0294032,10.18,206.63,212.24,69.98,164.94,70.24,61.04
DDB_G0286533,10.51,43,215.29,183.37,151.02,78.98,72.69
DDB_G0290799,2.65,4.22,52.65,57.97,45.91,18.42,17.71
DDB_G0270262,1.1,25.1,20.09,21.9,16.43,5.98,6.91
